year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,manufacturer,age,log_km_driven,log_selling_price,selling_price_ugx_approx
2014,450000,145500,Diesel,Individual,Manual,First Owner,5.0,23.4,1248.0,74.0,Maruti,7,11.8879382384223,13.017002861746503,20250000
2014,370000,120000,Diesel,Individual,Manual,Second Owner,5.0,21.14,1498.0,103.52,Skoda,7,11.695255355062795,12.821258284620408,16650000
2006,158000,140000,Petrol,Individual,Manual,Third Owner,5.0,17.7,1497.0,78.0,Honda,15,11.849404844423074,11.970350312009105,7110000
2010,225000,127000,Diesel,Individual,Manual,First Owner,5.0,23.0,1396.0,90.0,Hyundai,11,11.751950239425476,12.323855681186558,10125000
2007,130000,120000,Petrol,Individual,Manual,First Owner,5.0,16.1,1298.0,88.2,Maruti,14,11.695255355062795,11.77528972943772,5850000
2017,440000,45000,Petrol,Individual,Manual,First Owner,5.0,20.14,1197.0,81.86,Hyundai,4,10.714439990727769,12.994530005894443,19800000
2007,96000,175000,LPG,Individual,Manual,First Owner,5.0,17.3,1061.0,57.5,Maruti,14,12.07254696717504,11.472103470449973,4320000
2011,350000,90000,Diesel,Individual,Manual,First Owner,5.0,23.59,1364.0,67.1,Toyota,10,11.407576060361786,12.765688433465597,15750000
2013,200000,169000,Diesel,Individual,Manual,First Owner,5.0,20.0,1399.0,68.1,Ford,8,12.037659911047468,12.206072645530174,9000000
2014,500000,68000,Diesel,Individual,Manual,Second Owner,5.0,19.01,1461.0,108.45,Renault,7,11.127277689932466,13.122363377404328,22500000
2005,92000,100000,Petrol,Individual,Manual,Second Owner,5.0,17.3,993.0,60.0,Maruti,16,11.51293546492023,11.429543856031177,4140000
2009,280000,140000,Diesel,Individual,Manual,Second Owner,5.0,19.3,1248.0,73.9,Maruti,12,11.849404844423074,12.542544882151386,12600000
2009,180000,90000,Petrol,Individual,Manual,Second Owner,5.0,18.9,1061.0,67.0,Maruti,12,11.407576060361786,12.100712129872347,8100000
2016,400000,40000,Petrol,Individual,Manual,First Owner,5.0,18.15,1198.0,82.0,Mahindra,5,10.596659732783579,12.89921982609012,18000000
2016,778000,70000,Diesel,Individual,Manual,Second Owner,7.0,24.52,1248.0,88.5,Maruti,5,11.156264806643742,13.564481803160529,35010000
2012,500000,53000,Diesel,Individual,Manual,Second Owner,5.0,23.0,1396.0,90.0,Hyundai,9,10.87806606028079,13.122363377404328,22500000
2002,150000,80000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796.0,46.3,Maruti,19,11.289794413577894,11.918390573078392,6750000
2016,680000,100000,Diesel,Individual,Manual,First Owner,5.0,22.54,1396.0,88.73,Hyundai,5,11.51293546492023,13.42984807715229,30600000
2011,174000,100000,Diesel,Individual,Manual,Second Owner,5.0,21.0,1461.0,64.1,Mahindra,10,11.51293546492023,12.066810578196666,7830000
2017,950000,50000,Diesel,Individual,Manual,First Owner,5.0,25.5,1498.0,98.6,Honda,4,10.819798284210286,13.764217263576723,42750000
2015,525000,40000,Diesel,Individual,Manual,First Owner,5.0,26.59,1248.0,74.0,Maruti,6,10.596659732783579,13.17115354157376,23625000
2012,600000,72000,Diesel,Individual,Manual,First Owner,5.0,21.5,1248.0,88.8,Maruti,9,11.184435286790631,13.304684934198283,27000000
2018,500000,35000,Petrol,Individual,Manual,First Owner,5.0,20.3,1199.0,83.81,Tata,3,10.463131911491967,13.122363377404328,22500000
2016,575000,45000,Petrol,Individual,Manual,First Owner,5.0,21.4,1197.0,83.1,Maruti,5,10.714439990727769,13.262125319779487,25875000
2017,275000,28000,Petrol,Individual,Manual,First Owner,5.0,24.7,796.0,47.3,Maruti,4,10.239995502805316,12.524526376648708,12375000
2013,300000,70000,Diesel,Individual,Manual,First Owner,7.0,18.2,1248.0,73.8,Chevrolet,8,11.156264806643742,12.611537753638338,13500000
2009,220000,120000,Petrol,Individual,Manual,First Owner,5.0,18.9,1061.0,67.0,Maruti,12,11.695255355062795,12.301382825334498,9900000
2018,254999,25000,Petrol,Individual,Manual,First Owner,8.0,16.8,796.0,34.2,Maruti,3,10.12667110305036,12.449014902564246,11474955
2017,670000,70000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,4,11.156264806643742,13.415032991367148,30150000
2012,150000,35000,Petrol,Individual,Manual,Second Owner,5.0,14.0,796.0,35.0,Maruti,9,10.463131911491967,11.918390573078392,6750000
2018,730000,2388,Petrol,Individual,Manual,First Owner,5.0,18.6,1197.0,81.83,Hyundai,3,7.77863014732581,13.500799813124575,32850000
2017,650000,16200,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,4,9.692828247710418,13.38472764187182,29250000
2019,330000,10000,CNG,Individual,Manual,Second Owner,4.0,33.44,796.0,40.3,Maruti,2,9.210440366976517,12.706847933442663,14850000
2019,366000,15000,Petrol,Individual,Manual,First Owner,5.0,23.95,998.0,67.1,Maruti,2,9.61587214452889,12.810388612383504,16470000
2019,1149000,5000,Petrol,Individual,Manual,First Owner,5.0,17.0,1591.0,121.3,Hyundai,2,8.517393171418904,13.954402556830892,51705000
2016,150000,42000,Petrol,Individual,Manual,First Owner,5.0,20.63,1198.0,67.0,Datsun,5,10.645448706505872,11.918390573078392,6750000
2011,425000,60000,Diesel,Individual,Manual,Second Owner,7.0,13.93,2179.0,138.03,Tata,10,11.002116507732017,12.959844447906553,19125000
2012,150000,76000,Petrol,Individual,Manual,First Owner,4.0,16.1,796.0,37.0,Maruti,9,11.23850177707664,11.918390573078392,6750000
2019,2100000,5000,Petrol,Individual,Automatic,First Owner,5.0,16.0,1368.0,160.77,Jeep,2,8.517393171418904,14.557447902693651,94500000
2018,925000,28900,Petrol,Dealer,Manual,First Owner,5.0,17.8,1497.0,117.3,Honda,3,10.27163147557801,13.737549016494562,41625000
2013,425000,86300,Petrol,Dealer,Manual,First Owner,5.0,16.8,1497.0,116.3,Honda,8,11.3655964644899,12.959844447906553,19125000
2018,675000,23300,Petrol,Dealer,Automatic,First Owner,5.0,18.5,1197.0,83.14,Maruti,3,10.056251557087757,13.422467969854667,30375000
2018,819999,32600,Diesel,Dealer,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,3,10.392098241730961,13.617058399727497,36899955
